1,600
2,672
3,693
4,20
5,1360
6,624
7,420
8,243
9,576
10,840
11,315
12,1440
13,385
14,408
15,252
16,80
17,105
18,1408
19,2496
20,110
21,16
22,280
23,70
24,120
25,315
26,640
27,96
28,30
29,720
30,918
31,450
32,1694
33,2400
34,162
35,130
36,1632
37,36
38,798
39,720
40,360
41,840
42,3040
43,24
44,1080
45,144
46,912
47,330
48,2160
49,135
50,175
51,624
52,1260
53,8
54,36
55,238
56,70
57,98
58,429
59,1404
60,168
61,4760
62,1056
63,360
64,605
65,390
66,462
67,1680
68,360
69,150
70,156
71,624
72,546
73,2299
74,96
75,10
76,360
77,252
78,90
79,1824
80,120
81,112
82,780
83,2240
84,2448
85,90
86,990
87,24
88,189
89,648
90,72
91,476
92,195
93,2520
94,150
95,90
96,1040
97,480
98,216
99,462
100,132
